id,latex,language,pronunciation
18961,{\rm {\bf \Lambda }}_1 =(\lambda {\rm {\bf I}}+{\rm {\bf \Lambda }}_2^{-1} )^{-1},eng,Lambda one is equal to the inverse of the sum of lambda multiplied by an identity matrix plus the inverse of Lambda two.
18964,"\mathcal{G}(\{s_j^k\}_{j=1}^N)\leq K,",eng,G of curly braces s sub j superscript k where j is from 1 to N is less than or equal to K.
18965,"\mathcal{G}(\{s_j^k\}_{j=1}^N)\leq K,",eng,"The function script G of set s raised to the power of k, indexed from j equals 1 to N, is bounded by K."
18968,ds^{2}=d\varphi ^{2}+a^{2}(\varphi )dx^{2},eng,d s squared equals d phi squared plus a squared of phi d x squared
18969,ds^{2}=d\varphi ^{2}+a^{2}(\varphi )dx^{2},eng,ds squared is equal to d phi squared plus a squared of phi times d x squared
18972,C\::\:(y^2+ax^2+bxz+cz^2)^q-z^{p+2q}x^{-p}=0.,eng,C colon open parentheses y squared plus a times x squared plus b times x times z plus c times z squared close parentheses raised to the power of q minus z raised to the power of p plus two times q times x raised to the negative power of p equals zero
18973,C\::\:(y^2+ax^2+bxz+cz^2)^q-z^{p+2q}x^{-p}=0.,eng,Consider C colon left parenthesis y squared plus ax squared plus bxz plus cz squared right parenthesis to the power of q minus z to the p plus 2q over x to the p equals zero
18976,"p=a^{1/3} \textrm{, and } q=\frac{b}{a^{2/3}+a^{1/3}+1}. ",eng,"""pee equals a raised to the one-third power; and cue equals b divided by a raised to the two-thirds power plus a raised to the one-third power plus one."""
18977,"p=a^{1/3} \textrm{, and } q=\frac{b}{a^{2/3}+a^{1/3}+1}. ",eng,"""p is equal to a cubed rooted; and q is the function of b over the sum of a to the two-thirds power, a to the one-third power, and one."""
18980,"b = \int_{\mathcal{C}} B_{(2)} = \frac{1}{2} \,\sqrt{V_*} +\sqrt{2V}\, \tilde b\,(r) \,.",eng,b equals the integral over the contour C of capital B sub two equals one half times the square root of V star plus the square root of two times V times b tilde of r comma
18981,"b = \int_{\mathcal{C}} B_{(2)} = \frac{1}{2} \,\sqrt{V_*} +\sqrt{2V}\, \tilde b\,(r) \,.",eng,b is equal to the line integral on the path C of B two equals one over two square root of V star plus two times the square root of V times b of r tilde period
18984, \dim W=\dim W_D+\dim W (-D).,eng,"""The dimension of W is equal to the dimension of W sub D plus the dimension of W of minus D."""
18985, \dim W=\dim W_D+\dim W (-D).,eng,"""Dimension W equals dimension W D plus dimension W of negative D."""
18988," \widetilde{\Gamma}((M \cap S_\rho) \times [0,1]) = C_\rho \cup \Gamma(A \times (0,1]),",eng,Tilde gamma of the intersection of M and S sub rho times the interval from zero to one equals C sub rho union gamma of A times the open interval from zero to one.
18989," \widetilde{\Gamma}((M \cap S_\rho) \times [0,1]) = C_\rho \cup \Gamma(A \times (0,1]),",eng,Tilde gamma of M intersected with S sub rho cross the closed interval zero to one equals C sub rho union gamma of A cross the open interval from zero to one.
18992,"j(\lambda)= 2^8 \frac{(\lambda^{2}-\lambda+1)^{3}}{\lambda^{2}(\lambda -1)^{2}},",eng,jay of lambda is equal to two to the eighth power times open parenthesis lambda squared minus lambda plus one close parenthesis cubed divided by lambda squared times open parenthesis lambda minus one close parenthesis squared
18993,"j(\lambda)= 2^8 \frac{(\lambda^{2}-\lambda+1)^{3}}{\lambda^{2}(\lambda -1)^{2}},",eng,jay lambda equals two to the power eight times the cubed of lambda square minus lambda plus one all over lambda square times the square of lambda minus one
18996,"\lim_{\rho\to 0} \int_{\mathbb{R}^+}\int_{B_1} H_2(x,r,\rho)dxdr=0. ",eng,"the limit as rho approaches zero of the double integral over the positive real numbers and the unit ball of H two of x, r, rho dx dr equals zero"
18997,"\lim_{\rho\to 0} \int_{\mathbb{R}^+}\int_{B_1} H_2(x,r,\rho)dxdr=0. ",eng,"limit as rho tends to zero of the integral over R plus and B one of the function H two, evaluated at x, r, rho, with respect to dx and dr is zero"
19000,"\mathrm{Op}_h\left( \frac{\rho}{p} \right)v(x',x_n) = 0",eng,Op sub h of rho over p v times x prime x sub n equals zero
19001,"\mathrm{Op}_h\left( \frac{\rho}{p} \right)v(x',x_n) = 0",eng,Oh-pie h of rho over p the function v of x prime and x sub n equals zero
19004,"t_{min}:=\frac{1- np^2 T_1+ 3 (T_1 p)^2 }{(n-T_1) p^2}, ",eng,tee min equals fraction one minus n p squared T one plus three open parentheses T one p close parentheses squared over open parentheses n minus T one close parentheses p squared
19005,"t_{min}:=\frac{1- np^2 T_1+ 3 (T_1 p)^2 }{(n-T_1) p^2}, ",eng,t min equals one minus np squared T1 plus three times the square of T1 p divided by the product of n minus T1 and p squared
19008,rb=\nabla \phi\times r\nabla \theta+G r\nabla \theta.,eng,rb equals the nabla of phi cross r nabla theta plus G r nabla theta.
19009,rb=\nabla \phi\times r\nabla \theta+G r\nabla \theta.,eng,rb is the gradient of phi crossed with r times the gradient of theta plus G multiplied by r times the gradient of theta.
19012,n_1=m_1-\frac12 \lambda. ,eng,n sub one equals m sub one minus one half lambda
19013,n_1=m_1-\frac12 \lambda. ,eng,n one equals m one take away half of lambda
19016,P^{\pm}(A^k)=\overline{P^{\mp}(B^k)}.,eng,P to the plus or minus of A to the k equals the conjugate of P to the minus or plus of B to the k.
19017,P^{\pm}(A^k)=\overline{P^{\mp}(B^k)}.,eng,P raised to plus-minus power of A to the power of k equals the conjugate of P raised to minus-plus power of B to the power of k.
19020,"A\Bigl (\mathrm{det}\,T_{(0,\, r)}-\Omega_{(0,\,r)}\Bigr )+m_{r}M_{r}",eng,"A multiplied by the determinant of T sub zero r minus Omega sub zero r, close the parentheses, plus m sub r times M sub r."
19021,"A\Bigl (\mathrm{det}\,T_{(0,\, r)}-\Omega_{(0,\,r)}\Bigr )+m_{r}M_{r}",eng,A times determinant of T at zero comma r minus Omega at zero comma r plus m sub r multiplied by M sub r.
19024," \phi := \bigwedge_{i = 1}^m \bigvee_{j : A_{ij} = 1} x_j,",eng,"phi is defined as the conjunction from i equals 1 to m of the disjunction, where j such that A sub i j equals 1 of x sub j"
19025," \phi := \bigwedge_{i = 1}^m \bigvee_{j : A_{ij} = 1} x_j,",eng,"phi is equal to the logical AND from i equals 1 to m of logical OR, where j such that A i j is 1 of x j"
19028,"F(i,j,n,r)=i!j!/[n+r-i)!(n+s-r-j)!]",eng,Eff of i comma j comma n comma r equals i factorial j factorial over open parenthesis n plus r minus i close parenthesis factorial times open parenthesis n plus s minus r minus j close parenthesis factorial.
19029,"F(i,j,n,r)=i!j!/[n+r-i)!(n+s-r-j)!]",eng,Eff of i j n r is i factorial times j factorial divided by the factorial of open parenthesis n plus r minus i close parenthesis times open parenthesis n plus s minus r minus j close parenthesis. 
19032,E=\frac{|E_{-n}|}{(\cos(\eta\pi))^{1/\eta}}>0.,eng,E equals the absolute value of E sub-negative n over open parenthesis cosine of eta pi close parenthesis raised to the power of one over eta is greater than zero.
19033,E=\frac{|E_{-n}|}{(\cos(\eta\pi))^{1/\eta}}>0.,eng,E equals the magnitude of E sub minus n divided by the cosine of eta times pi raised to one over eta is greater than zero.
19036,"\delta(\pi(m))=\pi(m)b-b\pi(m),\ \ \ m\in M.",eng,"delta of pi of m equals pi of m times b minus b times pi of m, for m in M."
19037,"\delta(\pi(m))=\pi(m)b-b\pi(m),\ \ \ m\in M.",eng,"delta pi m equals pi m b minus b pi m, where m belongs to M."
19040,V_{G_1}(T(\lambda)) = \overline{\mathcal{O}_{[w]}}.,eng,V sub G sub one of T of lambda equals the closure of O with brackets around w.
19041,V_{G_1}(T(\lambda)) = \overline{\mathcal{O}_{[w]}}.,eng,V G one of T lambda is equal to the overline of the orbit bracket w.
19044, c_1 c_2 c_3 c_4 c_5 c_6 = 1.,eng,C one times C two times C three times C four times C five times C six equals one.
19045, c_1 c_2 c_3 c_4 c_5 c_6 = 1.,eng,"The product of C one, C two, C three, C four, C five, and C six is one."
19048,"\varphi'(x, u) = W(\Lambda^{-1}_{0}) \varphi(x, u) W^{\dagger}(\Lambda^{-1}_0) = \varphi(x', u).",eng,"phi prime of x, u equals W of Lambda inverse zero times phi of x, u times W dagger of Lambda inverse zero equals phi of x prime, u"
19049,"\varphi'(x, u) = W(\Lambda^{-1}_{0}) \varphi(x, u) W^{\dagger}(\Lambda^{-1}_0) = \varphi(x', u).",eng,"phi dash x, u equals W of Lambda to the negative one zero times phi x, u times W dagger of Lambda to the negative one zero equals phi of x prime, u"
19052,"<v_{1},v_{2}>=\int_{\mathcal{M}_{j}}<v_{1},m><m,v_{2}>dm ",eng,The inner product of v one and v two is the integral over the manifold M sub j of the inner product of v one and m times the inner product of m and v two with respect to dm.
19053,"<v_{1},v_{2}>=\int_{\mathcal{M}_{j}}<v_{1},m><m,v_{2}>dm ",eng,The dot product of vectors v one and v two equals the integral over the set M j of the dot product of v one and m times the dot product of m and v two in terms of dm.
19056,"U(T)_{u,v} = e^{iT\lambda_1}\sum_{i=1}^n x_i(u)^2 = e^{iT\lambda_1}",eng," U of T sub U comma V equals E to the power of I T lambda one, summation from I equals one to N of X sub I of U squared equals E to the power of I T lambda one."
19057,"U(T)_{u,v} = e^{iT\lambda_1}\sum_{i=1}^n x_i(u)^2 = e^{iT\lambda_1}",eng," U T sub U V equals E raised to the power of I T lambda one, the sum as I runs from one to N of X sub I of U squared equals E raised to the power of I T lambda one."
19060,"g_{\alpha\beta} \rightarrow \bar{g}_{\alpha \beta} = \Omega^2 g_{\alpha \beta}~,",eng,g alpha beta becomes g-bar alpha beta which equals Omega squared times g alpha beta
19061,"g_{\alpha\beta} \rightarrow \bar{g}_{\alpha \beta} = \Omega^2 g_{\alpha \beta}~,",eng,g sub alpha beta transforms to g-bar sub alpha beta equals Omega squared times g sub alpha beta
19064,"\frac{dx}{dt}=\sum_{\alpha=1}^r b_{\alpha}(t)X_{\alpha}(x),x(a)=x_0,",eng,"dee x by dee t equals the summation for alpha equals one to r of b alpha of t times X alpha of x, with x evaluated at a equals x nought."
19065,"\frac{dx}{dt}=\sum_{\alpha=1}^r b_{\alpha}(t)X_{\alpha}(x),x(a)=x_0,",eng,"the derivative of x with respect to t is equal to the sum, from alpha equals one to r, of b alpha of t times X alpha of x, where x at a is equal to x nought."
19068,"\eta =\frac{\Omega \epsilon \varphi }{8\pi },",eng,eta equals Omega epsilon varphi divided by eight pi
19069,"\eta =\frac{\Omega \epsilon \varphi }{8\pi },",eng,eta is equal to Omega epsilon varphi over eight pi
19072,"M_{x,y}\triangleq \{u\in\mathfrak{g}^{(l)}:\|u\|_\mathrm{HS}<r\ \mathrm{and}\ x+F_l(u,x)=y\}",eng,M sub x y is defined as the set of u in g raised to the power of l such that the norm of u under the Hilbert-Schmidt norm is less than r and x plus the function F of l parenthesis u comma x equals y.
19073,"M_{x,y}\triangleq \{u\in\mathfrak{g}^{(l)}:\|u\|_\mathrm{HS}<r\ \mathrm{and}\ x+F_l(u,x)=y\}",eng,M sub x y equals the set of u belonging to g superscript l where the Hilbert-Schmidt norm of u is smaller than r and x added to F sub l parenthesis u comma x results in y.
19076,d_n(c_3a_3b_3 \dots c_3a_3b_3a_2 \otimes 1) = c_3a_3b_3 \dots c_3a_3b_3 \otimes a_2,eng,d sub n of c sub 3 a sub 3 b sub 3 repeating with c sub 3 a sub 3 b sub 3 a sub 2 tensor 1 equals c sub 3 a sub 3 b sub 3 repeating with c sub 3 a sub 3 b sub 3 tensor a sub 2
19077,d_n(c_3a_3b_3 \dots c_3a_3b_3a_2 \otimes 1) = c_3a_3b_3 \dots c_3a_3b_3 \otimes a_2,eng,d sub n of c three a three b three followed by c three a three b three a two tensor product with one equals c three a three b three continued with c three a three b three tensor product with a two
19080," K: x +\sqrt{2}y +\sqrt{3} = 0\ , \ u=0\ .",eng,"Kay: x plus the square root of two times y plus the square root of three equals zero, where u equals zero."
19081," K: x +\sqrt{2}y +\sqrt{3} = 0\ , \ u=0\ .",eng,"Kay: x plus root two times y plus root three equals zero, and u is zero."
19084, E_{\text i}^\pm(\kappa_x) = \frac{\kappa_1 \eta_1}{2} \frac{J_\pm(\kappa_x)}{\kappa_{1z}} ,eng,E sub i superscript plus minus of kappa sub x equals the fraction of kappa sub one eta sub one over two times the fraction of J sub plus minus of kappa sub x over kappa sub one z
19085, E_{\text i}^\pm(\kappa_x) = \frac{\kappa_1 \eta_1}{2} \frac{J_\pm(\kappa_x)}{\kappa_{1z}} ,eng,E i plus minus at kappa x equals kappa one eta one divided by two times J plus minus kappa x divided by kappa one z
19088,\partial_r\eta+\frac{i}{r}\partial_{\theta}\eta+eA(r)\eta-2e^{i(K-1)\theta} {\cal{H}}\eta^*=0,eng,Partial r eta plus i over r partial theta eta plus e A of r eta minus 2 e to the power of i times open parenthesis K minus 1 closed parenthesis theta script H eta star equals zero.
19089,\partial_r\eta+\frac{i}{r}\partial_{\theta}\eta+eA(r)\eta-2e^{i(K-1)\theta} {\cal{H}}\eta^*=0,eng,Derivative of eta with respect to r plus i divided by r times derivative of eta with respect to theta plus e times A r times eta minus two times e raised to i times open bracket K minus 1 close bracket theta script H eta conjugate equals zero.
19092,x_{r(\alpha_0(u))}(\tilde{\alpha}_0(u))=x_{s(\alpha_0(u))}(\tilde{\alpha}_0(u)).,eng,"x subscript r of alpha zero of u end subscript, tilde alpha zero of u equals x subscript s of alpha zero of u end subscript, tilde alpha zero of u."
19093,x_{r(\alpha_0(u))}(\tilde{\alpha}_0(u))=x_{s(\alpha_0(u))}(\tilde{\alpha}_0(u)).,eng,"x r bracket alpha zero of u end bracket, tilde alpha zero of u equals x s bracket alpha zero of u end bracket, tilde alpha zero of u."
19096," f^!(c(TN)^{-1} \cap c_*(\gamma)) = c(TM)^{-1} \cap c_*(f^*(\gamma)) \in H_*(X)\:,",eng,f factorial c of TN inverse intersected with c star of gamma equals c of TM inverse intersected with c star of f star of gamma belongs to H star of X
19097," f^!(c(TN)^{-1} \cap c_*(\gamma)) = c(TM)^{-1} \cap c_*(f^*(\gamma)) \in H_*(X)\:,",eng,factorial f times the inverse of c of TN intersect c star of gamma equals the inverse of c of TM intersect c star of f star gamma inside H starred of X
19100," G(M)\subset G(\partial_c h)\ \ \mathrm{and}\ \ \ h(s)=0\ \ \ \Rightarrow\ \ \ \ R_{[c,M,s]}\leq h.",eng,"1. G of M is a subset of G of partial c h and h of s equals zero implies R subscript bracket c, M, s bracket is less than or equal to h."
19101," G(M)\subset G(\partial_c h)\ \ \mathrm{and}\ \ \ h(s)=0\ \ \ \Rightarrow\ \ \ \ R_{[c,M,s]}\leq h.",eng,2. G M contained in G partial c h and h of s equals zero and so R c comma M comma s is less than or equal to h.
19104,\phi_{IS}(s) = - t^2 \partial_{t} u_{IS}(t) .,eng,Phi I-S of s equals negative t squared partial t of u I-S of t.
19105,\phi_{IS}(s) = - t^2 \partial_{t} u_{IS}(t) .,eng,Phi sub I-S at s is equal to minus t squared times the derivative with respect to t of u sub I-S at t.
19108,"[D^4,D^m]+{1\over2}\epsilon^{lmk}[D^k,D^l]=0,",eng,"Bracket D to the fourth, D to the m, bracket plus one over two epsilon superscript lmk bracket D to the k, D to the l, bracket equals zero."
19109,"[D^4,D^m]+{1\over2}\epsilon^{lmk}[D^k,D^l]=0,",eng,"Open bracket D raised to the fourth power, D raised to the m power, close bracket plus one half epsilon with superscript l, m, k open bracket D to the power of k, D to the power of l, close bracket equals zero."
19112,"\lim_{i\to\infty} \gamma_i=\frac{t+s\,p}{p-1}>1.",eng,"The limit as i approaches infinity of gamma sub i equals the fraction of t plus s times p over p minus one, which is greater than one."
19113,"\lim_{i\to\infty} \gamma_i=\frac{t+s\,p}{p-1}>1.",eng,"Limit of gamma sub i, as i approaches infinity, equals the quotient of t plus s p by p minus one, more than one."
19116,"[u,v]= \frac{1}{2}(u.v-v.u) and u \circ v = \frac{1}{2}(u.v+v.u).",eng,"""u, v equals one half times the quantity of u dot v minus v dot u"""
19117,"[u,v]= \frac{1}{2}(u.v-v.u) and u \circ v = \frac{1}{2}(u.v+v.u).",eng,"""bracket u, v equals one half of u times v subtract v times u"""
19120,"\bar{\partial}x(z,\bar{z})=f(z,\bar{z}),",eng,Partial bar dee ex at zee comma bar zee equals eff at zee comma bar zee.
19121,"\bar{\partial}x(z,\bar{z})=f(z,\bar{z}),",eng,Bar partial differential of ex evaluated at z and bar z equals the function evaluated at z and bar z.
19124,"\mu_\beta=\sum_{(i,j)\; :\; \beta(u_i,v_j)\ne0} u^*_i \otimes v^*_j \otimes w_{ij},",eng,"Mu beta equals the sum over all i, j where beta of u sub i, v sub j is not zero, of u star sub i tensor v star sub j tensor w sub i j."
19125,"\mu_\beta=\sum_{(i,j)\; :\; \beta(u_i,v_j)\ne0} u^*_i \otimes v^*_j \otimes w_{ij},",eng,"Mu sub beta equals the summation across pairs i, j such that beta of u sub i and v sub j is non-zero, involving u star sub i cross v star sub j cross w sub i j."
19128,U(y) = \exp \left( i \tau^{3} \frac{y}{2R} \right).,eng,One: U of y equals e to the power of i times tau cubed multiplied by y over two R.
19129,U(y) = \exp \left( i \tau^{3} \frac{y}{2R} \right).,eng,Two: U parenthesis y equals the exponential of i times tau raised to the power of three times y divided by two R.
19132,"\Delta_r u(t,r) := \partial^2_r u(t,r) + \tfrac{d-1}{r} \partial_r u(t,r)",eng,Delta sub r of u of t comma r is equal to partial squared sub r of u of t comma r plus d minus one over r times partial sub r of u of t comma r.
19133,"\Delta_r u(t,r) := \partial^2_r u(t,r) + \tfrac{d-1}{r} \partial_r u(t,r)",eng,Delta sub r of u of t r colon equals partial second r of u of t r and d minus one divided by r times partial r of u of t r.
19136,"\int d^3z\,D_{\mu \nu}^{\rm T}(z) \gamma_\mu \Lambda(x,y,z) = 0,",eng,"Integral d cubed z, D sub mu nu superscript T of z times gamma sub mu Lambda of x y z equals zero."
19137,"\int d^3z\,D_{\mu \nu}^{\rm T}(z) \gamma_\mu \Lambda(x,y,z) = 0,",eng,"The integral of d-three-z, D-mu-nu-T of z times gamma-mu Lambda x, y, z is zero."
19140,"p_{n,\ell+u}(\phi)=p_{n,r,\ell+u}(\phi) +\phi^{n-1/2} O(\ell^{-r-n-3/2}),",eng,"p sub n, l plus u of phi equals p sub n, r, l plus u of phi plus phi to the power of n minus one-half, big O of l to the power of minus r minus n minus three-halves"
19141,"p_{n,\ell+u}(\phi)=p_{n,r,\ell+u}(\phi) +\phi^{n-1/2} O(\ell^{-r-n-3/2}),",eng,"p n, l plus u, phi equals p n, r, l plus u, phi plus phi raised to the power of n minus a half, big O of l raised to the power of minus r minus n minus three over two"
19144,"\frac{d^\ell}{dt^\ell}V_m(t)=(-A)^\ell V_{m,\ell}(t), ",eng,The L-th derivative of V sub m of t with respect to t equals negative A to the power of L times V sub m comma L of t.
19145,"\frac{d^\ell}{dt^\ell}V_m(t)=(-A)^\ell V_{m,\ell}(t), ",eng,D L over D T to the L of V sub m of t equals open parenthesis negative A close parenthesis to the L times V sub m L of t.
19148,"\delta C = {\alpha \over 3!} {\kappa^2 \over \sqrt{2} \lambda^2} \delta(x^{11}) dx^{11} Q_2^1,",eng,"delta C equals alpha over three factorial times kappa squared over the square root of two times lambda squared times delta of x to the power eleven, dx to the power eleven times Q sub two superscript one."
19149,"\delta C = {\alpha \over 3!} {\kappa^2 \over \sqrt{2} \lambda^2} \delta(x^{11}) dx^{11} Q_2^1,",eng,"delta C is alpha by three factorial, kappa squared by root two lambda squared times delta x eleventh, dx eleventh, Q two one."
19152,"\psi_{i,1}:= (0, 2^{-1/2}m\varphi_i),\ \psi_{i,2}:= (2^{-1/2}m\beta_i^{-1}\varphi_i ,0).",eng,sigh sub i one is defined as open parenthesis zero comma two to the power of negative one half times m phi sub i close parenthesis comma sigh sub i two is defined as open parenthesis two to the power of negative one half times m times beta sub i to the power of negative one times phi sub i comma zero close parenthesis.
19153,"\psi_{i,1}:= (0, 2^{-1/2}m\varphi_i),\ \psi_{i,2}:= (2^{-1/2}m\beta_i^{-1}\varphi_i ,0).",eng,"psi i one equals zero comma two to the negative one-half times m phi i, while psi i two equals two to the negative one-half times m beta i to the negative one times phi i comma zero."
19156,"\psi_k = Z^{a+\frac {1}{2}} r^{-(A + k)} J_{(A + k)} P_k(x)\,\,\,.",eng,psi-k equals Z to the power of a plus one half times r to the power of negative A plus k times J sub A plus k times P sub k of x
19157,"\psi_k = Z^{a+\frac {1}{2}} r^{-(A + k)} J_{(A + k)} P_k(x)\,\,\,.",eng,"psi-k equals Z raised to the power of a plus half, multiplied by r raised to the negative A plus k, times J of A plus k, times P-k of x"
19160,"C = \left[ \begin{array}{cc} c_{\ell,\ell} & c_{\ell,r}\\ c_{r,\ell} & c_{r,r} \end{array} \right]",eng,"C is equal to the matrix consisting of c sub l l in the top left, c sub l r in the top right, c sub r l in the bottom left, and c sub r r in the bottom right."
19161,"C = \left[ \begin{array}{cc} c_{\ell,\ell} & c_{\ell,r}\\ c_{r,\ell} & c_{r,r} \end{array} \right]",eng,"C equals the matrix where the first row elements are c sub l l and c sub l r, and the second row elements are c sub r l and c sub r r."
19164,"E[n]=\{P\in{E(\overline{K(C)})}:nP=\mathcal{O}\},",eng,E of n equals the set of all P in E overline K of C such that n times P equals the identity
19165,"E[n]=\{P\in{E(\overline{K(C)})}:nP=\mathcal{O}\},",eng,E en equals set of P in elliptic curve over the algebraic closure of the function field C such that n times P equals the identity point
19168,V(\phi)= -{2k \over 2k+1} ({2k \over a})^{1\over 2k} \phi^{1+ 1/2k} -R_{0} \phi+c,eng,"V phi equals negative two k divided by two k plus one, times the quantity two k over a to the power of one over two k. Multiply by phi to the power of one plus one over two k, minus R naught phi plus c."
19169,V(\phi)= -{2k \over 2k+1} ({2k \over a})^{1\over 2k} \phi^{1+ 1/2k} -R_{0} \phi+c,eng,"V of phi is negative two k over two k plus one, multiplied by the square root of two k over a. Phi to the power of one plus one divided by two k, minus R sub zero times phi, added to c."
19172,"\hat{X}_{\mu}\equiv \hat{\partial}_{\mu}+\hat{A}_{\mu}\,.",eng,hat X sub mu is equivalent to hat partial sub mu plus hat A sub mu
19173,"\hat{X}_{\mu}\equiv \hat{\partial}_{\mu}+\hat{A}_{\mu}\,.",eng,hat X mu equals hat partial mu plus hat A mu
19176," \Gamma := \{ \gamma\in C([0,1],W_0^{1,p}(\Omega)) \mid \gamma(0)=0\;\mbox{and}\;\gamma(1)=w \}.",eng,"Gamma is defined as the set of all gamma contained in continuous functions from zero to one, within the Sobolev space with Dirichlet boundary conditions over Omega, such that gamma of zero equals zero and gamma of one equals w."
19177," \Gamma := \{ \gamma\in C([0,1],W_0^{1,p}(\Omega)) \mid \gamma(0)=0\;\mbox{and}\;\gamma(1)=w \}.",eng,"Gamma colon equals the set of gamma in C zero one covering W zero sup one, p of Omega such that gamma zero equals zero and gamma one equals w."
19180,"J_{m_i}C_{i,j}= C_{i,j}J_{m_j},\textrm{for all } i,j.",eng,"Jay sub em eye, C sub i j equals C sub i j, Jay sub em j, for all i, j."
19181,"J_{m_i}C_{i,j}= C_{i,j}J_{m_j},\textrm{for all } i,j.",eng,"Jay indexed em eye, C indexed i j equals C indexed i j, Jay indexed em j, for all i, j."
19184, \mathbf{u}_m = b_{m1} \mathbf{w}_1\oplus\ldots\oplus b_{mK} \mathbf{w}_K.,eng,u sub m equals b sub m one times w one plus ... plus b sub m k times w k.
19185, \mathbf{u}_m = b_{m1} \mathbf{w}_1\oplus\ldots\oplus b_{mK} \mathbf{w}_K.,eng,u m equals b sub m one multiplied by w one xor b sub m k multiplied by w k.
19188," \lambda_{\mathrm{max}}:=\lim_{M\rightarrow \infty} \frac{1}{M} \log\|\Pi_{M}\|,",eng,Lambda sub max colon equals the limit as M approaches infinity of the fraction one over M times the log of the norm of Pi sub M.
19189," \lambda_{\mathrm{max}}:=\lim_{M\rightarrow \infty} \frac{1}{M} \log\|\Pi_{M}\|,",eng,"Lambda sub max is defined as the limit as M tends to infinity, of the expression one divided by M, multiplied by the logarithm of the norm of Pi sub M."
19192,"F^{(m)}(x,\theta + \pi^ky)=c_j \pi^{(d_j-d_0)m+ke_{j,\theta}}\gamma_j(x,y)y^{e_{j,\theta}},",eng,"F m of x, theta plus pi to the power of k times y equals c sub j, pi to the power of open parenthesis d sub j minus d sub zero close parenthesis m plus k times e sub j, theta close parenthesis times gamma sub j of x, y, y to the power of e sub j, theta."
19193,"F^{(m)}(x,\theta + \pi^ky)=c_j \pi^{(d_j-d_0)m+ke_{j,\theta}}\gamma_j(x,y)y^{e_{j,\theta}},",eng,"F superscript m, parenthesis x, theta plus pi to the power of k times y parenthesis equals c sub j, pi to the power of open parenthesis d sub j minus d sub zero times m plus k times e sub j,theta close parenthesis times gamma sub j parenthesis x, y parenthesis times y to the power of e sub j, theta."
19196,"F=\left\{x\in\partial\Omega:\, D(A',\Omega,x)\notin\{0,1\} \right\} ",eng,"Eff equals the set of all ex in the boundary of Omega, such that Dee of A prime, Omega, ex is not an element of the set containing zero and one."
19197,"F=\left\{x\in\partial\Omega:\, D(A',\Omega,x)\notin\{0,1\} \right\} ",eng,"F equals the set of all x belonging to the boundary of Omega, where D of A prime, Omega, x is not an element of the set including zero and one."
19200, d\gamma_t=0,eng,dee gamma sub tee equals zero
19201, d\gamma_t=0,eng,dee gamma tee equals zero
19204,"L_A=-\frac 14 F_A^{\mu \nu }F_{A\mu \nu} -2(D^\mu \phi )\overline {( D_\mu \phi )} - V{\phi},",eng,L sub A equals minus one fourth times F sub A superscript mu nu F sub A mu nu minus two times D superscript mu phi times overline of D sub mu phi minus V of phi.
19205,"L_A=-\frac 14 F_A^{\mu \nu }F_{A\mu \nu} -2(D^\mu \phi )\overline {( D_\mu \phi )} - V{\phi},",eng,L sub A is minus one fourth F sub A to the power mu nu times F sub A mu nu minus two times the derivative of phi with respect to mu times the conjugate of the derivative of phi with respect to mu minus the potential V of phi.
19208, \bar{\Phi}\Phi=\bar{\phi}_A\lambda^A+\phi^*_{Aa}\pi^{Aa}-\eta_A\phi^A.,eng,Bar Phi Phi equals bar phi sub A lambda superscript A plus phi star sub Aa pi superscript Aa minus eta sub A phi superscript A.
19209, \bar{\Phi}\Phi=\bar{\phi}_A\lambda^A+\phi^*_{Aa}\pi^{Aa}-\eta_A\phi^A.,eng,Overline Phi Phi is equal to overline lowercase phi sub A lambda superscript A added to lowercase phi star sub Aa pi superscript Aa subtract eta sub A lowercase phi superscript A.
19212, \mu^p_{\Delta}\circ \mu^p_{\Lambda}=\mu^p_{\Delta}\Lambda\subset\Delta.,eng,mu superscript p subscript Delta composed with mu superscript p subscript Lambda equals mu superscript p subscript Delta Lambda contained within Delta.
19213, \mu^p_{\Delta}\circ \mu^p_{\Lambda}=\mu^p_{\Delta}\Lambda\subset\Delta.,eng,"mew to the power of p indexed by Delta, composed with mew to the power of p indexed by Lambda equals mew to the power of p indexed by Delta and Lambda contained in Delta."
19216,"\mathcal{L} := \left\{m:[0,T]\longrightarrow S: |m(t)-m(s)| \leq K|t-s| , m(0) = m_0 \right\}",eng,"L is defined as the set of functions m from the interval zero to T mapping to S, such that m of t minus m of s is less than or equal to K times the absolute difference t minus s, with m at zero equals to m naught."
19217,"\mathcal{L} := \left\{m:[0,T]\longrightarrow S: |m(t)-m(s)| \leq K|t-s| , m(0) = m_0 \right\}",eng,"The set L consists of functions m defined on the interval from zero to T to S, meeting the condition that the absolute value of m at t minus m at s is lesser or equal to constant K multiplied by the absolute t minus s, where m at zero equals to m zero."
19220, \alpha' =\alpha \rho >\alpha.,eng,alpha prime equals alpha rho greater than alpha
19221, \alpha' =\alpha \rho >\alpha.,eng,alpha dash equals alpha rho which is greater than alpha
19224,"Q(t,\delta_*(t)) = (\delta_*(t)^{-1}H)^\frac{3}{8}.",eng,Q of t comma delta star of t is equal to open parentheses delta star of t raised to the power of negative one multiplied by H close parentheses raised to the power of three over eight.
